,blue_1_gold,blue_1_kills,blue_1_assists,blue_1_deaths,blue_1_win,blue_2_gold,blue_2_kills,blue_2_assists,blue_2_deaths,blue_2_win,blue_3_gold,blue_3_kills,blue_3_assists,blue_3_deaths,blue_3_win,blue_4_gold,blue_4_kills,blue_4_assists,blue_4_deaths,blue_4_win,blue_5_gold,blue_5_kills,blue_5_assists,blue_5_deaths,blue_5_win,red_1_gold,red_1_kills,red_1_assists,red_1_deaths,red_1_win,red_2_gold,red_2_kills,red_2_assists,red_2_deaths,red_2_win,red_3_gold,red_3_kills,red_3_assists,red_3_deaths,red_3_win,red_4_gold,red_4_kills,red_4_assists,red_4_deaths,red_4_win,red_5_gold,red_5_kills,red_5_assists,red_5_deaths,red_5_win,win,teamId,id
149,0.06161177003339362,68,51,35,5,0.06053087221945704,73,53,34,4,0.02434144172708265,17,83,30,3,0.049964893742463656,68,46,45,3,0.038959333470761685,46,31,30,3,0.04844500396773507,36,35,33,3,0.04129898849684007,67,25,25,4,0.03274266709168376,23,83,17,4,0.05991294327547232,53,90,52,2,0.060705304453149485,41,93,21,3,0,200,BR1_2321558244
150,0.05672617110041665,35,27,26,4,0.05600777515754389,51,85,48,1,0.03211147779079942,17,77,17,4,0.052194445705375736,79,35,34,3,0.044345140529689624,34,69,18,2,0.05667283109432371,41,82,64,2,0.04793514760418703,34,32,26,3,0.03641680649896081,37,26,30,3,0.03588860749104713,50,35,34,2,0.0480157306270784,49,30,31,3,0,200,BR1_2321548616
151,0.03922559941803602,82,35,39,4,0.041920120614647116,44,15,34,2,0.030050743589100266,10,74,22,3,0.03868081316736339,30,66,34,2,0.057510807713808655,52,64,33,3,0.041134420572947666,33,65,13,4,0.05222618339097295,39,29,45,1,0.03293789123108341,28,46,33,1,0.05682631343549306,76,58,42,4,0.055582275050722385,50,139,48,4,1,100,BR1_2321552593
152,0.04514123248008124,43,68,31,2,0.033398834518197834,38,46,36,2,0.023642130720281998,6,77,27,2,0.05722660575424918,49,44,32,4,0.04892385619315499,32,72,46,2,0.05110571468566677,60,15,32,3,0.029660776430651396,18,56,42,4,0.06343206480955056,77,33,16,5,0.033116211539736394,44,32,38,2,0.04554105166665565,36,55,29,2,0,200,BR1_2316447238
153,0.029116517495341495,19,34,40,2,0.03645086786066759,38,39,24,3,0.03434653819620902,36,17,29,2,0.04046521455557557,47,36,38,3,0.03884342643251464,24,39,30,2,0.025221962890991448,11,17,24,1,0.029463246345089907,21,31,35,1,0.03451294013555638,35,22,28,3,0.03253336542918651,22,58,22,2,0.029342589200780398,7,120,25,4,1,100,BR1_2286622646
154,0.02795405148353986,16,23,30,2,0.047496534943046564,55,46,26,4,0.05159250183971074,44,59,38,2,0.03478213861371521,16,20,26,2,0.03366531169714962,38,57,42,3,0.039707983868033724,50,39,36,3,0.03520663302644137,35,35,28,2,0.03125587174879845,18,20,23,2,0.034234269672642766,21,26,35,2,0.02709063393770067,24,75,31,3,1,200,BR1_2286570766
155,0.03314747256869416,28,11,31,3,0.035026034924328396,43,41,21,3,0.03455767985429526,42,57,22,5,0.02958216089627793,19,29,36,3,0.02437189145258688,18,61,23,3,0.053037930851558904,56,100,63,2,0.03783035979198139,45,40,23,4,0.030849812610829076,33,58,40,3,0.030784660679300854,30,38,40,1,0.05113393779587686,56,68,53,2,0,200,BR1_2285449810
156,0.05073425633374109,46,30,24,2,0.034749849714838264,23,27,23,3,0.040747096508654886,36,37,41,2,0.03840538656881903,50,35,24,5,0.026949651895680583,13,48,29,1,0.05212758450626346,57,31,19,4,0.03794878806855775,50,45,23,4,0.03274580656965429,37,53,26,3,0.041446348781009654,60,41,42,2,0.05851403348840596,65,130,49,1,1,200,BR1_2285426566
157,0.058700216669367186,78,97,47,3,0.03645379559092408,50,43,28,4,0.03024789102813418,23,37,26,2,0.032067155153998765,32,51,27,2,0.026817219554704425,29,40,27,2,0.05700736503173192,68,32,40,2,0.03445784529788707,47,54,37,3,0.031053262422836028,15,59,45,2,0.036441561337545614,50,46,45,2,0.04974503421187024,40,120,41,2,1,100,BR1_2284046135
158,0.04026589659720428,33,32,24,4,0.05297045989563656,41,42,34,3,0.032569024980657564,44,22,25,2,0.032239101967411185,22,30,26,4,0.04487853432102038,50,48,23,4,0.05285214767371916,67,90,47,3,0.033322218595543525,44,35,34,3,0.03861936528973258,43,62,29,3,0.02498612111421905,22,34,34,1,0.059564071952359354,81,57,29,4,1,200,BR1_2283994376
159,0.03271265648458228,32,48,28,1,0.027998413340683845,12,39,31,1,0.03609730038536602,31,31,30,1,0.04256558317958878,21,54,39,5,0.031147246695315527,15,38,37,1,0.05028555868515501,41,97,68,1,0.04528750051544555,38,39,34,2,0.0573258747680787,49,150,44,2,0.04836318842126058,49,52,44,2,0.031557969940379876,20,24,24,2,1,100,BR1_2335312048
160,0.028779358886512604,13,39,53,0,0.036721929100603005,12,57,38,2,0.03418885968291396,20,46,34,2,0.03643403439184399,30,26,32,1,0.045604948543821085,28,48,42,4,0.03807557840598393,42,22,35,2,0.034645732459912,48,38,39,4,0.03001574613028532,45,37,23,2,0.03462486339070907,32,35,24,1,0.04700075886532078,20,91,30,3,0,100,BR1_2335208857
161,0.05793054337917512,56,64,49,2,0.03172524606929804,39,33,27,3,0.04302900980462934,60,60,29,4,0.051761973553571886,71,48,52,2,0.03681272739382624,17,69,36,3,0.036755857662376004,27,42,36,2,0.028540704186602286,14,52,30,3,0.03705121138793836,18,52,39,2,0.03584502792560956,31,27,32,2,0.03104398736767683,20,51,63,1,0,200,BR1_2335185567
162,0.04089471476700564,35,45,31,2,0.04210528962633328,27,68,40,2,0.033166849334434284,19,56,65,1,0.0370688894342452,36,25,25,3,0.034186507681642206,21,61,26,4,0.026051160961414698,12,33,29,1,0.036748326253367415,29,42,40,2,0.029348834903422598,27,53,23,2,0.033156690226576815,22,44,37,1,0.039333143735874376,55,33,23,3,0,100,BR1_2335181980
163,0.05697073601341429,50,43,40,2,0.04217259999573353,49,36,37,2,0.03625800582313277,9,23,30,2,0.042803004118242095,79,38,51,3,0.05523835893968883,52,64,39,2,0.05229304375725356,34,34,33,3,0.034331592876592834,42,31,30,3,0.02705554276018231,8,111,23,4,0.05094040715239179,65,21,22,4,0.03309968014828715,26,69,40,4,0,200,BR1_2335129410
